Stadt1	Stadt2	Abstand
Gent (Gand)	Stoke-on-Trent	474.00
Gent (Gand)	Wolverhampton	450.84
Liège (Luik)	Dijon	371.86
Liège (Luik)	Le Havre	411.25
Liège (Luik)	Le Mans	483.72
Liège (Luik)	Lille	179.46
Liège (Luik)	Metz	175.17
Liège (Luik)	Mulhouse	346.41
Liège (Luik)	Nancy	221.53
Liège (Luik)	Orléans	402.28
Liège (Luik)	PARIS	304.45
Liège (Luik)	Reims	189.71
Liège (Luik)	Rouen	347.21
Liège (Luik)	Strasbourg	277.18
Liège (Luik)	Aachen	39.31
Liège (Luik)	Augsburg	457.47
Liège (Luik)	Bielefeld	260.97
Liège (Luik)	Bochum	150.09
Liège (Luik)	Bonn	109.66
Liège (Luik)	Braunschweig	397.19
Liège (Luik)	Bremen	355.88
Liège (Luik)	Dortmund	166.29
Liège (Luik)	Duisburg	122.15
Liège (Luik)	Düsseldorf	107.56
Liège (Luik)	Erfurt	391.81
Liège (Luik)	Essen	137.21
Liège (Luik)	Frankfurt am Main	230.09
Liège (Luik)	Freiburg im Breisgau	336.77
Liège (Luik)	Gelsenkirchen	145.39
Liège (Luik)	Halle (Saale)	466.79
Liège (Luik)	Hamburg	452.44
Liège (Luik)	Hannover	354.59
Liège (Luik)	Karlsruhe	272.38
Liège (Luik)	Kassel	289.97
Liège (Luik)	Köln	104.37
Liège (Luik)	Krefeld	104.23
Liège (Luik)	Leipzig	492.42
Liège (Luik)	Magdeburg	464.24
Liège (Luik)	Mainz	206.11
Liège (Luik)	Mannheim	243.62
Liège (Luik)	Mönchengladbach	86.83
Liège (Luik)	Münster (Westf.)	207.47
Liège (Luik)	Nürnberg	415.26
Liège (Luik)	Oberhausen	129.50
Liège (Luik)	Stuttgart	331.15
Liège (Luik)	Wiesbaden	200.81
Liège (Luik)	Wuppertal	133.82
Liège (Luik)	AMSTERDAM	198.33
Liège (Luik)	Eindhoven	89.85
Liège (Luik)	Groningen	295.17
Liège (Luik)	Rotterdam	162.87
Liège (Luik)	s-Gravenhage	184.43
Liège (Luik)	Tilburg	107.53
Liège (Luik)	Utrecht	164.74
Liège (Luik)	Bâle	372.55
Liège (Luik)	BERNE	432.82
Liège (Luik)	Genève	496.24
Liège (Luik)	Lausanne	465.13
Liège (Luik)	Luzern	445.22
Liège (Luik)	Zürich	421.60
Liège (Luik)	Brighton and Hove	409.81
Liège (Luik)	LONDON	418.77
Liège (Luik)	Luton	449.66
Liège (Luik)	Northampton	495.41
Liège (Luik)	Portsmouth	475.73
Liège (Luik)	Reading	476.47
Liège (Luik)	Southampton	499.72
Burgas	Plovdiv	178.87
Burgas	SOFIA	279.11
Burgas	Varna	98.64
Burgas	Thessaloniki	365.61
Burgas	SKOPJE	415.91
Burgas	BUCURESTI	235.07
Burgas	Niš	391.99
Plovdiv	SOFIA	119.38
Plovdiv	Varna	255.47
Plovdiv	ATHINAI	467.75
Plovdiv	Thessaloniki	211.58
Plovdiv	SKOPJE	237.81
Plovdiv	BUCURESTI	273.06
Plovdiv	BEOGRAD (BELGRADE)	427.70
Plovdiv	Niš	242.66
Plovdiv	Novi Sad	493.00
SOFIA	Varna	333.24
SOFIA	Thessaloniki	230.67
SOFIA	Szeged	456.29
SOFIA	Bari	493.93
SOFIA	SKOPJE	156.12
SOFIA	BUCURESTI	277.41
SOFIA	BEOGRAD (BELGRADE)	312.48
SOFIA	Niš	123.37
SOFIA	Novi Sad	377.91
Varna	Thessaloniki	456.49
Varna	SKOPJE	482.76
Varna	CHIŞINĂU (KISHINEV)	428.97
Varna	BUCURESTI	188.44
Varna	Niš	430.57
Varna	Odessa	417.23
ZAGREB	Brno	378.81
ZAGREB	Ostrava	476.99
ZAGREB	PRAHA	488.56
ZAGREB	Augsburg	461.11
ZAGREB	München	407.37
ZAGREB	BUDAPEST	288.37
ZAGREB	Debrecen	446.88
ZAGREB	Györ	239.94
ZAGREB	Miskolc	428.24
ZAGREB	Szeged	302.29
ZAGREB	Bologna	362.42
ZAGREB	Firenze	407.04
ZAGREB	Milano	486.77
ZAGREB	Padova	296.86
ZAGREB	Trieste	158.80
ZAGREB	Venezia	263.78
ZAGREB	Verona	358.83
ZAGREB	BEOGRAD (BELGRADE)	338.93
ZAGREB	Novi Sad	283.46
ZAGREB	BRATISLAVA	272.58
ZAGREB	Kosice	496.58
ZAGREB	LJUBLJANA	108.37
Brno	Ostrava	139.23
Brno	PRAHA	185.60
Brno	Augsburg	418.66
Brno	BERLIN	435.92
Brno	Chemnitz	320.59
Brno	Dresden	291.42
Brno	Erfurt	445.89
Brno	Halle (Saale)	418.42
Brno	Leipzig	385.92
Brno	Magdeburg	483.09
Brno	München	378.74
Brno	Nürnberg	396.75
Brno	BUDAPEST	256.34
Brno	Debrecen	403.39
Brno	Györ	182.75
Brno	Miskolc	322.44
Brno	Szeged	413.36
Brno	Trieste	443.49
Brno	Bydgoszcz	448.51
Brno	Czestochowa	254.30
Brno	Katowice	209.33
Brno	Kraków	260.11
Brno	Lódz	351.61
Brno	Lublin	481.07
Brno	Poznan	357.77
Brno	Radom	408.83
Brno	Sosnowiec	217.13
Brno	Szczecin	494.15
Brno	WARSZAWA	461.76
Brno	Wroclaw	216.85
Brno	Novi Sad	495.46
Brno	BRATISLAVA	121.16
Brno	Kosice	335.83
Brno	LJUBLJANA	380.73
Ostrava	PRAHA	277.47
Ostrava	BERLIN	459.91
Ostrava	Chemnitz	398.77
Ostrava	Dresden	351.88
Ostrava	Halle (Saale)	487.11
Ostrava	Leipzig	454.40
Ostrava	BUDAPEST	265.65
Ostrava	Debrecen	350.57
Ostrava	Györ	243.44
Ostrava	Miskolc	263.27
Ostrava	Szeged	420.24
Ostrava	Bydgoszcz	366.40
Ostrava	Czestochowa	124.02
Ostrava	Katowice	70.95
Ostrava	Kraków	124.88
Ostrava	Lódz	231.05
Ostrava	Lublin	342.10
Ostrava	Poznan	301.72
Ostrava	Radom	270.90
Ostrava	Sosnowiec	78.40
Ostrava	Szczecin	480.92
Ostrava	WARSZAWA	330.35
Ostrava	Wroclaw	171.32
Ostrava	BRATISLAVA	205.25
Ostrava	Kosice	245.97
Ostrava	Ivano-Frankivsk	470.71
Ostrava	Lviv	411.10
PRAHA	Augsburg	316.40
PRAHA	BERLIN	280.31
PRAHA	Bielefeld	472.85
PRAHA	Braunschweig	369.30
PRAHA	Chemnitz	135.32
PRAHA	Dresden	117.67
PRAHA	Erfurt	262.03
PRAHA	Frankfurt am Main	410.36
PRAHA	Halle (Saale)	234.12
PRAHA	Hamburg	497.46
PRAHA	Hannover	420.59
PRAHA	Karlsruhe	446.77
PRAHA	Kassel	377.99
PRAHA	Leipzig	202.15
PRAHA	Lübeck	498.28
PRAHA	Magdeburg	302.17
PRAHA	Mainz	439.47
PRAHA	Mannheim	430.88
PRAHA	München	297.53
PRAHA	Nürnberg	249.28
PRAHA	Rostock	474.94
PRAHA	Stuttgart	402.07
PRAHA	Wiesbaden	441.84
PRAHA	BUDAPEST	438.31
PRAHA	Györ	352.33
PRAHA	Trieste	496.07
PRAHA	Bydgoszcz	423.74
PRAHA	Czestochowa	345.73
PRAHA	Katowice	329.48
PRAHA	Kraków	398.70
PRAHA	Lódz	405.78
PRAHA	Poznan	313.36
PRAHA	Sosnowiec	337.65
PRAHA	Szczecin	372.16
PRAHA	Wroclaw	216.32
PRAHA	BRATISLAVA	288.72
PRAHA	LJUBLJANA	449.41
Ålborg	Århus	101.95
Ålborg	KOBENHAVN	242.40
Ålborg	Odense	186.23
Ålborg	Bremen	449.04
Ålborg	Hamburg	389.88
Ålborg	Kiel	303.52
Ålborg	Lübeck	358.10
Ålborg	Rostock	364.67
Ålborg	Groningen	488.82
Ålborg	OSLO	324.41
Ålborg	Göteborg	163.71
Ålborg	Malmö	272.35
Århus	KOBENHAVN	176.20
Århus	Odense	84.36
Århus	BERLIN	463.70
Århus	Bielefeld	475.20
Århus	Braunschweig	432.97
Århus	Bremen	356.58
Århus	Hamburg	290.40
Århus	Hannover	421.54
Århus	Kiel	203.41
Århus	Lübeck	256.34
Århus	Magdeburg	458.69
Århus	Rostock	266.79
Århus	Groningen	417.52
Århus	OSLO	420.58
Århus	Szczecin	433.35
Århus	Göteborg	213.95
Århus	Malmö	208.26
KOBENHAVN	Odense	159.45
KOBENHAVN	BERLIN	357.61
KOBENHAVN	Braunschweig	408.02
KOBENHAVN	Bremen	396.02
KOBENHAVN	Halle (Saale)	469.89
KOBENHAVN	Hamburg	300.66
KOBENHAVN	Hannover	420.59
KOBENHAVN	Kiel	230.97
KOBENHAVN	Leipzig	483.92
KOBENHAVN	Lübeck	243.35
KOBENHAVN	Magdeburg	401.24
KOBENHAVN	Rostock	180.23
KOBENHAVN	OSLO	488.30
KOBENHAVN	Bydgoszcz	481.90
KOBENHAVN	Gdansk	459.23
KOBENHAVN	Gdynia	441.42
KOBENHAVN	Poznan	480.09
KOBENHAVN	Szczecin	288.34
KOBENHAVN	Göteborg	228.98
KOBENHAVN	Malmö	32.06
Odense	BERLIN	386.09
Odense	Bielefeld	398.94
Odense	Bochum	491.30
Odense	Braunschweig	349.07
Odense	Bremen	282.19
Odense	Dortmund	480.21
Odense	Erfurt	494.31
Odense	Gelsenkirchen	492.58
Odense	Halle (Saale)	450.48
