Stadt	Einwohner	Land	Breitengrad	Laengengrad
Mezhdurechensk	102465.0	Russia	53.6863763	88.0703443
Miass	166205.0	Russia	55.065304	60.108337
MOSKVA	11918057.0	Russia	55.7504461	37.6174943
Murmansk	303754.0	Russia	68.970665	33.07497
Murom	122545.0	Russia	55.5738	42.0447
Mytishchi	185204.0	Russia	55.9094928	37.7339358
Naberezhnye Tchelny	517831.0	Russia	55.7420117	52.3992173
Nakhodka	159633.0	Russia	42.8246489	132.8926
Naltchik	265051.0	Russia	43.4769604	43.5966578
Nazran	100574.0	Russia	43.2320774	44.7540128
Neftekamsk	135013.0	Russia	56.0884031	54.2478094
Nefteyugansk	125528.0	Russia	61.090309	72.6101
Nevinnomyssk	117949.0	Russia	44.6245814	41.9475941
Nizhnekamsk	235279.0	Russia	55.6412879	51.8160376
Nizhnevartovsk	261011.0	Russia	60.9339411	76.5814274
Nizhny Novgorod	1266231.0	Russia	56.328571	44.003506
Nizhny Tagil	362185.0	Russia	57.905149	59.9508466
Noginsk	103843.0	Russia	55.8553511	38.4411898
Norilsk	178363.0	Russia	69.3498394	88.200517
Novocheboksarsk	124288.0	Russia	56.1140023	47.4870341
Novocherkassk	171081.0	Russia	47.41066	40.101986
Novokuybyshevsk	109521.0	Russia	53.099243	49.948364
Novokuznetsk	549383.0	Russia	53.757607	87.136101
Novomoskovsk	141893.0	Russia	54.011013	38.290943
Novorossiysk	305421.0	Russia	44.7239578	37.7690711
Novoshakhtinsk	110243.0	Russia	47.7558886	39.935987
Novosibirsk	1511369.0	Russia	55.0282171	82.9234509
Novotroitsk	103061.0	Russia	51.196369	58.298527
Novy Urengoy	114332.0	Russia	66.085196	76.6799167
Noyabrsk	108662.0	Russia	63.1150538	75.34254236988208
Obninsk	105722.0	Russia	55.0951738	36.611913
Odintsovo	143848.0	Russia	55.6711507	37.2727963
Oktyabrsky	111109.0	Russia	56.8407917	53.3237481
Omsk	1158627.0	Russia	54.991375	73.371529
Orekhovo-Zuevo	121341.0	Russia	55.8083278	38.9790038
Orel	318642.0	Russia	52.9685433	36.0692477
Orenburg	571041.0	Russia	51.767452	55.097118
Orsk	241327.0	Russia	51.2305015	58.4738015
Penza	519948.0	Russia	53.1937836	45.00674125017068
Perm	1007285.0	Russia	58.5951603	56.3159546
Pervouralsk	149796.0	Russia	56.904858	59.943119
Petropavlovsk-Kamchatsky	180702.0	Russia	53.0199693	158.6472187
Petrozavodsk	267102.0	Russia	61.790039	34.390007
Podolsk	200059.0	Russia	55.4308841	37.5453056
Prokopyevsk	206023.0	Russia	53.890972	86.737663
Pskov	205062.0	Russia	57.817398	28.334368
Pushkino	104020.0	Russia	56.0104274	37.8461892
Pyatigorsk	212968.0	Russia	44.039775	43.0706669
Rostov-na-Donu	1100091.0	Russia	47.2213858	39.7114196
Rubtsovsk	146075.0	Russia	51.5276264	81.2176174
Ryazan	526919.0	Russia	54.6295687	39.7425039
Rybinsk	197359.0	Russia	58.050373	38.834637
Salavat	155174.0	Russia	53.361687	55.924641
Samara	1170485.0	Russia	53.198627	50.113987
Saransk	326473.0	Russia	54.18671	45.18383
Sarapul	100362.0	Russia	56.477334	53.8192957
Saratov	838321.0	Russia	51.530018	46.034683
Sergiev Posad	115858.0	Russia	56.3133404	38.1320729
Serov	107904.0	Russia	59.6051905	60.574043
Serpukhov	126729.0	Russia	54.9155247	37.4195533
Severodvinsk	190513.0	Russia	64.563385	39.823769
Seversk	116340.0	Russia	56.603161	84.881012
Shakhty	238031.0	Russia	47.7119167	40.2115699
Shchyolkovo	113726.0	Russia	55.9206499	37.9915576
Smolensk	330451.0	Russia	54.7814057	32.0461261
Sochi	441407.0	Russia	43.5854823	39.723109
St. Petersburg	4990602.0	Russia	59.9606739	30.1586551
Stary Oskol	256790.0	Russia	51.298038	37.833202
Stavropol	408560.0	Russia	45.0433245	41.9690934
Sterlitamak	275087.0	Russia	53.632374	55.952259
Surgut	321062.0	Russia	61.254032	73.3964
Syktyvkar	255283.0	Russia	61.6685237	50.8352024
Syzran	178205.0	Russia	53.09579215	48.39405728270984
Taganrog	255671.0	Russia	47.2153657	38.9285216
Tambov	281348.0	Russia	52.72879	41.45536
Tobolsk	101955.0	Russia	58.1998048	68.2512924
Tolyatti	719363.0	Russia	53.52185365	49.374757290807175
Tomsk	565000.0	Russia	58.6124279	82.0475315
Tula	496656.0	Russia	54.1930321	37.61754
Tver	407896.0	Russia	56.858675	35.9208284
Tyumen	644799.0	Russia	57.153534	65.542274
Ufa	1084420.0	Russia	54.726288	55.947727
