JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 C3-K1 s8 C3-K2 s9 K1-K2 s10
Aperture: 8, Filter: L, JD: geocentric
2460492.4696528 0.75680 0.00318 0.95218 0.00332 1.05627 0.00326 -0.42774 0.00191 -0.32365 0.00182 0.92331 0.00320 1.02741 0.00315 0.56216 0.00267 0.66625 0.00260 0.10409 0.00206
2460492.4710995 0.76260 0.00314 0.95788 0.00326 1.05684 0.00322 -0.43011 0.00186 -0.33115 0.00178 0.92994 0.00315 1.02890 0.00311 0.56293 0.00262 0.66189 0.00256 0.09896 0.00200
2460492.4740046 0.77573 0.00305 0.97209 0.00316 1.06797 0.00313 -0.42734 0.00177 -0.33146 0.00171 0.92245 0.00303 1.01833 0.00300 0.56594 0.00247 0.66182 0.00243 0.09588 0.00191
2460492.4754630 0.78558 0.00311 0.98252 0.00322 1.08270 0.00317 -0.42710 0.00178 -0.32692 0.00170 0.92914 0.00302 1.02932 0.00297 0.56294 0.00248 0.66313 0.00243 0.10018 0.00191
2460492.4769097 0.79505 0.00307 0.98659 0.00319 1.08313 0.00315 -0.43149 0.00178 -0.33494 0.00171 0.91585 0.00304 1.01239 0.00300 0.56071 0.00250 0.65725 0.00245 0.09654 0.00193
2460492.4798148 0.80131 0.00303 0.99367 0.00316 1.09611 0.00311 -0.42942 0.00179 -0.32698 0.00171 0.92460 0.00301 1.02704 0.00296 0.55275 0.00247 0.65519 0.00241 0.10244 0.00193
2460492.4812500 0.82387 0.00304 1.01766 0.00315 1.11560 0.00312 -0.43085 0.00175 -0.33291 0.00169 0.92580 0.00295 1.02375 0.00291 0.56146 0.00245 0.65940 0.00241 0.09795 0.00189
2460492.4827083 0.81950 0.00300 1.01333 0.00310 1.11379 0.00307 -0.42857 0.00174 -0.32812 0.00169 0.92293 0.00296 1.02339 0.00293 0.55801 0.00247 0.65846 0.00244 0.10045 0.00189
2460492.4856019 0.83201 0.00304 1.02280 0.00316 1.12965 0.00312 -0.43414 0.00176 -0.32729 0.00168 0.92447 0.00292 1.03132 0.00288 0.55796 0.00245 0.66480 0.00240 0.10685 0.00190
2460492.4870486 0.83957 0.00305 1.04053 0.00316 1.13036 0.00312 -0.42297 0.00177 -0.33314 0.00170 0.93193 0.00292 1.02176 0.00289 0.56758 0.00245 0.65742 0.00240 0.08983 0.00190
2460492.4884954 0.83830 0.00309 1.03120 0.00320 1.13038 0.00316 -0.43208 0.00176 -0.33290 0.00169 0.92768 0.00298 1.02686 0.00294 0.55942 0.00244 0.65860 0.00239 0.09918 0.00189
2460492.4935995 0.84921 0.00305 1.04761 0.00316 1.14101 0.00312 -0.42358 0.00172 -0.33018 0.00164 0.93055 0.00287 1.02395 0.00283 0.55937 0.00236 0.65277 0.00231 0.09340 0.00185
2460492.4950463 0.84985 0.00297 1.04647 0.00308 1.14216 0.00305 -0.42700 0.00170 -0.33132 0.00165 0.92098 0.00286 1.01667 0.00282 0.56725 0.00237 0.66294 0.00233 0.09569 0.00184
2460492.4964931 0.86974 0.00304 1.05964 0.00315 1.16146 0.00311 -0.43455 0.00171 -0.33273 0.00164 0.92178 0.00286 1.02360 0.00282 0.55720 0.00236 0.65902 0.00231 0.10182 0.00184
2460492.4979514 0.86260 0.00312 1.05808 0.00321 1.15947 0.00319 -0.42740 0.00172 -0.32601 0.00168 0.92269 0.00292 1.02408 0.00289 0.56220 0.00241 0.66359 0.00238 0.10138 0.00185
2460492.5023032 0.87884 0.00306 1.07804 0.00318 1.17011 0.00314 -0.42352 0.00173 -0.33145 0.00167 0.92569 0.00286 1.01776 0.00282 0.56606 0.00244 0.65813 0.00239 0.09207 0.00188
2460492.5037500 0.87546 0.00314 1.07297 0.00324 1.16576 0.00321 -0.42616 0.00175 -0.33336 0.00169 0.93092 0.00293 1.02372 0.00289 0.56175 0.00243 0.65454 0.00238 0.09280 0.00188
