JD V-C s1 V-K1 s2 V-K2 s3 C1-K1 s4 C1-K2 s5 C2-K1 s6 C2-K2 s7 K1-K2 s8
Aperture: 6, Filter: L, JD: geocentric


2460492.5667940 0.75448 0.00279 -0.57574 0.00362 -1.72131 0.00765 0.56285 0.00533 -0.58271 0.00859 -1.98345 0.00313 -3.12901 0.00743 -1.14556 0.00795
2460492.5682523 0.72585 0.00280 -0.59910 0.00367 -1.75247 0.00767 0.56515 0.00547 -0.58822 0.00868 -1.97789 0.00319 -3.13126 0.00746 -1.15337 0.00801
2460492.5696991 0.71518 0.00278 -0.61005 0.00359 -1.79005 0.00772 0.57346 0.00539 -0.60654 0.00870 -1.97899 0.00312 -3.15899 0.00751 -1.18000 0.00802
2460492.5711343 0.69184 0.00280 -0.62481 0.00364 -1.80875 0.00791 0.57575 0.00551 -0.60819 0.00892 -1.96981 0.00318 -3.15375 0.00771 -1.18394 0.00823
2460492.5725926 0.68919 0.00281 -0.63633 0.00367 -1.79424 0.00780 0.55934 0.00552 -0.59857 0.00882 -1.97795 0.00321 -3.13586 0.00759 -1.15791 0.00814
2460492.5747685 0.69726 0.00288 -0.63707 0.00375 -1.79581 0.00799 0.56290 0.00575 -0.59584 0.00910 -1.98795 0.00329 -3.14669 0.00778 -1.15874 0.00834
2460492.5762269 0.70627 0.00288 -0.61580 0.00377 -1.78826 0.00800 0.55620 0.00562 -0.61626 0.00902 -1.97386 0.00328 -3.14633 0.00778 -1.17246 0.00833
2460492.5776736 0.72328 0.00291 -0.59856 0.00380 -1.74899 0.00797 0.55777 0.00564 -0.59267 0.00900 -1.97376 0.00329 -3.12420 0.00775 -1.15043 0.00831
2460492.5791204 0.73402 0.00291 -0.58181 0.00383 -1.73675 0.00810 0.56840 0.00571 -0.58654 0.00914 -1.96820 0.00334 -3.12314 0.00788 -1.15495 0.00845
2460492.5805787 0.75803 0.00299 -0.56332 0.00384 -1.74415 0.00851 0.56993 0.00582 -0.61090 0.00956 -1.97439 0.00331 -3.15522 0.00828 -1.18083 0.00881
2460492.5820255 0.76724 0.00300 -0.55943 0.00388 -1.72041 0.00839 0.56837 0.00591 -0.59260 0.00950 -1.98008 0.00336 -3.14106 0.00816 -1.16098 0.00873
2460492.5834606 0.77927 0.00300 -0.52926 0.00383 -1.70653 0.00843 0.57598 0.00578 -0.60128 0.00947 -1.96093 0.00328 -3.13820 0.00819 -1.17727 0.00872
2460492.5849190 0.78689 0.00306 -0.52563 0.00390 -1.72049 0.00854 0.58010 0.00589 -0.61475 0.00961 -1.96570 0.00334 -3.16055 0.00829 -1.19486 0.00884
2460492.5863657 0.80350 0.00311 -0.52044 0.00397 -1.69619 0.00867 0.57486 0.00601 -0.60090 0.00978 -1.97771 0.00340 -3.15346 0.00842 -1.17576 0.00898
2460492.5878125 0.81865 0.00315 -0.49939 0.00403 -1.66981 0.00882 0.56694 0.00597 -0.60349 0.00986 -1.97048 0.00343 -3.14090 0.00856 -1.17043 0.00912
2460492.5892708 0.82043 0.00322 -0.49095 0.00407 -1.67253 0.00906 0.57880 0.00620 -0.60278 0.01020 -1.96433 0.00346 -3.14590 0.00881 -1.18158 0.00936
2460492.5907176 0.82594 0.00324 -0.49241 0.00422 -1.67222 0.00879 0.57655 0.00629 -0.60327 0.00995 -1.97175 0.00362 -3.15156 0.00852 -1.17981 0.00915
2460492.5921644 0.84511 0.00324 -0.47454 0.00417 -1.65570 0.00920 0.57931 0.00620 -0.60185 0.01028 -1.97344 0.00355 -3.15460 0.00894 -1.18116 0.00952
2460492.5936111 0.84694 0.00323 -0.47112 0.00422 -1.64834 0.00912 0.56353 0.00617 -0.61369 0.01017 -1.97018 0.00360 -3.14740 0.00885 -1.17722 0.00945
2460492.5957986 0.85538 0.00331 -0.45958 0.00419 -1.65353 0.00904 0.57202 0.00622 -0.62193 0.01014 -1.96760 0.00353 -3.16154 0.00875 -1.19395 0.00933
2460492.5972454 0.85518 0.00330 -0.46983 0.00424 -1.65304 0.00929 0.55992 0.00630 -0.62329 0.01039 -1.97745 0.00360 -3.16066 0.00902 -1.18321 0.00961
2460492.5986921 0.85766 0.00332 -0.46440 0.00425 -1.64738 0.00933 0.57111 0.00635 -0.61187 0.01045 -1.97529 0.00361 -3.15827 0.00905 -1.18298 0.00964
2460492.6001505 0.84417 0.00336 -0.47536 0.00422 -1.64887 0.00954 0.56712 0.00634 -0.60638 0.01065 -1.97213 0.00354 -3.14563 0.00926 -1.17350 0.00981
2460492.6015972 0.85361 0.00329 -0.46955 0.00419 -1.61956 0.00913 0.56747 0.00635 -0.58255 0.01030 -1.97615 0.00356 -3.12616 0.00886 -1.15002 0.00945
2460492.6030324 0.85794 0.00334 -0.45713 0.00422 -1.63762 0.00938 0.56346 0.00629 -0.61704 0.01048 -1.96689 0.00355 -3.14738 0.00910 -1.18050 0.00966
2460492.6044792 0.85563 0.00340 -0.46538 0.00428 -1.62957 0.00913 0.57180 0.00637 -0.59239 0.01028 -1.97421 0.00359 -3.13839 0.00883 -1.16419 0.00942
2460492.6059259 0.84273 0.00335 -0.47669 0.00422 -1.65648 0.00969 0.56799 0.00643 -0.61179 0.01083 -1.97210 0.00358 -3.15189 0.00943 -1.17979 0.00998
2460492.6073727 0.84541 0.00335 -0.48704 0.00435 -1.61989 0.00908 0.55667 0.00643 -0.57617 0.01024 -1.98530 0.00371 -3.11814 0.00880 -1.13285 0.00944
2460492.6088310 0.83830 0.00343 -0.49036 0.00437 -1.65354 0.00978 0.56196 0.00650 -0.60121 0.01090 -1.98165 0.00368 -3.14483 0.00949 -1.16318 0.01008
2460492.6102894 0.82963 0.00343 -0.49365 0.00446 -1.63735 0.00970 0.56669 0.00664 -0.57700 0.01088 -1.97621 0.00382 -3.11990 0.00943 -1.14370 0.01007
